soya
SIGKDD
Leyes de Núremberg	Alemania nazi	Alemania	judaísmo	Mein Kampf	Adolf Hitler	Pueblo judío
nacionalista
George y Mildred	Idioma inglés	Yootha Joyce	Reino Unido	España	Estados Unidos
afluente
John Langford
máquina de Turing
música
Independent Television News	Reino Unido	Londres
raza
Oso Paddington	Estación de Paddington	Reino Unido	Londres
nieve
Ernest Hemingway	suicidio	escritor	Estados Unidos	Unión Soviética	siglo XX	Winston Churchill	Milán	Primera Guerra Mundial	Time (revista)	naturalista	nazi	Ford Madox Ford	Oscar Wilde	Luxemburgo	Segunda Guerra Mundial
Universidad de Melbourne	Australia
Lorenz von Stein	Viena	idioma inglés	París	Alemania	Estado	Movimiento social	Stuttgart	Karl Marx	partido político	filosofía	Dinamarca
idioma inglés
Tyburn	Domesday Book	Marylebone	Inglaterra	Watling Street	Middlesex	Londres	idioma inglés	Isaac Newton
William Shakespeare	ensayo	Como gustéis	Francia	Inglaterra	Hamlet	idioma inglés	homosexualidad	Romanticismo	España	Trabajos de amor perdidos	ciencia ficción	Londres	libertad de expresión	Goethe	Gales	Southampton	El sueño de una noche de verano	positivismo	Voltaire	siglo XVII	Época victoriana	Universidad de Cambridge	Romeo y Julieta	siglo XIX	siglo XVI	poeta	actor	Segunda Guerra Mundial
South Dorset	South Dorset	Distrito electoral de South Dorset
Effie Gray	BBC	John Ruskin	Emma Thompson
teoría de la computación
Baer's law
solidaridad (sociología)
Waffen-SS	Führer	Ernst Röhm	Finlandia	Unión Soviética	Letonia	nazismo	Hungría	Países Bajos	Schutzstaffel	Primera Guerra Mundial	Partido Nacionalsocialista Obrero Alemán	Noruega	Estonia	SS	Dinamarca	Sturmabteilung	Heinrich Himmler	Juicios de Núremberg	URSS	Bélgica	Canciller de Alemania	Polonia	Adolf Hitler	Ucrania	Segunda Guerra Mundial	Francia
teselado
Sušice
Cuentos del planeta Tierra
Powerstock	British Broadcasting Corporation	Inglaterra	Wikidata	Bridport	Dorset Downs	Dorset
científico de la computación
